 "y",    "x",   "data"
 82.31, 81.56,  0.00,
 82.31, 84.38,  0.00,
 82.31, 87.19,  0.00,
 82.31, 90.00,  0.00,
 82.31, 92.81,  0.00,
 82.31, 95.62,  0.00,
 82.31, 98.44,  0.00,
 82.31,101.25,  0.00,
 82.31,104.06,  0.00,
 82.31,106.88,  0.00,
 82.31,109.69,  0.00,
 82.31,112.50,  0.00,
 82.31,115.31,  0.00,
 82.31,118.12,  1.00,
 82.31,120.94,  1.00,
 82.31,123.75,  0.00,
 82.31,126.56,  1.00,
 82.31,129.38,  1.00,
 82.31,132.19,  0.00,
 82.31,135.00,  0.00,
 82.31,137.81,  1.00,
 82.31,140.62,  0.00,
 82.31,143.44,  0.00,
 82.31,146.25,  0.00,
 82.31,149.06,  0.00,
 82.31,151.88,  1.00,
 82.31,154.69,  1.00,
 82.31,157.50,  1.00,
 82.31,160.31,  0.00,
 82.31,163.12,  0.00,
 82.31,165.94,  0.00,
 82.31,168.75,  0.00,
 82.31,171.56,  0.00,
 82.31,174.38,  0.00,
 82.31,177.19,  0.00,
 82.31,180.00,  0.00,
 82.31,182.81,  0.00,
 82.31,185.62,  0.00,
 82.31,188.44,  0.00,
 82.31,191.25,  0.00,
 82.31,194.06,  0.00,
 82.31,196.88,  1.00,
 82.31,199.69,  1.00,
 82.31,202.50,  1.00,
 82.31,205.31,  1.00,
 82.31,208.12,  1.00,
 82.31,210.94,  1.00,
 82.31,213.75,  1.00,
 82.31,216.56,  1.00,
 82.31,219.38,  1.00,
 82.31,222.19,  1.00,
 82.31,225.00,  1.00,
 82.31,227.81,  0.00,
 82.31,230.62,  0.00,
 82.31,233.44,  0.00,
 82.31,236.25,  0.00,
 82.31,239.06,  0.00,
 82.31,241.88,  0.00,
 82.31,244.69,  0.00,
 82.31,247.50,  0.00,
 82.31,250.31,  0.00,
 82.31,253.12,  0.00,
 82.31,255.94,  0.00,
 82.31,258.75,  0.00,
 82.31,261.56,  0.00,
 82.31,264.38,  0.00,
 82.31,267.19,  0.00,
 82.31,270.00,  0.00,
 82.31,272.81,  0.00,
 82.31,275.62,  0.00,
 82.31,278.44,  0.00,
 82.31,281.25,  0.00,
 82.31,284.06,  0.00,
 82.31,286.88,  0.00,
 82.31,289.69,  0.00,
 82.31,292.50,  0.00,
 82.31,295.31,  0.00,
 82.31,298.12,  0.00,
 82.31,300.94,  0.00,
 82.31,303.75,  0.00,
 82.31,306.56,  0.00,
 82.31,309.38,  0.00,
 82.31,312.19,  0.00,
 82.31,315.00,  0.00,
 82.31,317.81,  0.00,
 82.31,320.62,  0.00,
 82.31,323.44,  0.00,
 82.31,326.25,  0.00,
 82.31,329.06,  0.00,
 82.31,331.88,  0.00,
 82.31,334.69,  0.00,
 82.31,337.50,  0.00,
 82.31,340.31,  0.00,
 82.31,343.12,  0.00,
 82.31,345.94,  0.00,
 82.31,348.75,  0.00,
 82.31,351.56,  0.00,
 82.31,354.38,  0.00,
 82.31,357.19,  0.00,
 79.53,  0.00,  0.00,
